Number,VID,Unit,Format,Comment,


Module Name : CTC,
  449),      2001,        __,         A[32],LOT_ID,

  450),      2002,        __,         A[32],FDC.RECIPE_NAME,

  451),      2003,        __,         A[32],WAFER_ID,

  452),      2004,        __,         A[7],STEP_NUM,

  453),      2005,        __,         A[7],PORT_ID,

  454),      2006,        __,         A[7],SLOT_ID,

  455),      2007,        __,         A[7],PROCESS_TIME,

  456),      2008,        __,         A[32],CID,

  457),      2009,        __,         A[32],RECIPE_NAME,

  458),      2010,        __,         A[3],Chamber_ID,

  459),      2011,        __,         A[32],Clean_Recipe_Name,

  460),      2012,        __,         A[32],CJobID,

  461),      2013,        __,         A[32],PJobID,

  462),      2014,       sec,         A[10],Total_Process_Time,

  463),      2015,       sec,         A[10],Current_Process_Time,

  464),      2016,        id,         A[10],Total_Step_Count,

