Number,VID,Unit,Format,Comment,


Module Name : CTC,
  107),       514,        __,         U[1],LoadPort_Slot_Max,

  108),       515,        __,         L[0],LoadPort_Wafer_Visit_History,

  109),       516,        __,         U[1],LoadPort_PortID,

  110),       518,        __,         L[0],LoadPort_SlotInfoList,

  111),       519,        __,      BOOL[1],LoadPort_BypassReadID,

  112),       520,        __,        AV[4],LoadPort_LocationID,

  113),       530,        __,         U[1],LoadPort_ClampStatus,

  114),       531,        __,         U[1],LoadPort_Foup_Status,

  115),       532,        __,         U[1],LoadPort_Foup_Door_Status,

  116),       540,        __,         U[1],LoadPort_Access_Mode,

  117),       541,        __,         U[1],LoadPort_CarrierIDStatus,

  118),       542,        __,         U[1],LoadPort_SlotMspStatus,

  119),       543,        __,         U[1],LoadPort_CarrierAccessStatus,

  120),       544,        __,         U[1],LoadPort_ReservationStatus,

  121),       545,        __,         U[1],LoadPort_AssociationStatus,

  122),       546,        __,         U[1],LoadPort_TransferStatus,

  123),       547,        __,         L[1],LoadPort_StateInfo,

  124),       551,        __,        AV[1],LoadPort_LocID_Placement,

  125),       552,        __,        AV[1],LoadPort_LocID_Docked,

  126),       561,        __,         L[0],LoadPort_CassetteMap_List,

  127),       571,        __,        AV[1],LoadPort_PJobID,

  128),       600,        __,         U[1],LoadPort_Cassette_Status,

  129),       601,        __,         A[16],LoadPort_LotID,

  130),       602,        __,        AV[16],LoadPort_CarrierID,

  131),       603,        __,         A[12],LoadPort_PPID,

  132),       604,        __,         A[10],LoadPort_Status,

  133),       605,        __,         U[1],LoadPort_Wafer_Number_Assigned,

  134),       606,        __,         U[1],LoadPort_Wafer_Number_Processed,

  135),       607,        __,         A[25],LoadPort_Wafer_Map,

  136),       608,        __,         I[4],LoadPort_Total_Number_Of_Mapping_Wafer,

  137),       609,        __,         U[1],LoadPort_Wafer_Number_Aborted,

  138),       610,        __,         A[14],LoadPort_Lot_Start_Time,

  139),       611,        __,         A[14],LoadPort_Lot_End_Time,

  140),       612,        __,         A[14],LoadPort_Wafer_Start_Time,

  141),       613,        __,         A[14],LoadPort_Wafer_End_Time,

  142),       614,        __,         U[1],LoadPort_Slot_Max,

  143),       615,        __,         L[0],LoadPort_Wafer_Visit_History,

  144),       616,        __,         U[1],LoadPort_PortID,

  145),       618,        __,         L[0],LoadPort_SlotInfoList,

  146),       619,        __,      BOOL[1],LoadPort_BypassReadID,

  147),       620,        __,        AV[4],LoadPort_LocationID,

  148),       630,        __,         U[1],LoadPort_ClampStatus,

  149),       631,        __,         U[1],LoadPort_Foup_Status,

  150),       632,        __,         U[1],LoadPort_Foup_Door_Status,

  151),       640,        __,         U[1],LoadPort_Access_Mode,

  152),       641,        __,         U[1],LoadPort_CarrierIDStatus,

  153),       642,        __,         U[1],LoadPort_SlotMspStatus,

  154),       643,        __,         U[1],LoadPort_CarrierAccessStatus,

  155),       644,        __,         U[1],LoadPort_ReservationStatus,

